구분,발표처,제목,웹주소
지자체,대구광역시,시 홈페이지 디자인 공모전 수상작 발표일자 조정,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846945?&amp;pageIndex=7"")"
지자체,대구광역시,인구의 날 기념 '가나다 캠페인 공유이벤트',"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846944?&amp;pageIndex=7"")"
지자체,대구광역시,대구광역시 무기계약근로자 채용 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846943?&amp;pageIndex=7"")"
지자체,대구광역시 달서구,월성1동 쌍용예가 동편 도로건설 공사(소액수의) 견적제출 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/847004?&amp;pageIndex=5"")"
지자체,대구광역시 동구,대구수목원「식물교양강좌」교육 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846724?&amp;pageIndex=17"")"
지자체,대전광역시,대전예술의전당 상반기 기획공연 결산,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846897?&amp;pageIndex=10"")"
지자체,대전광역시,대전평생교육진흥원 창립 5주년 기념행사 개최,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846896?&amp;pageIndex=10"")"
지자체,대전광역시,대전시청자미디어센터 두살 생일파티에 초대합니다!,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846895?&amp;pageIndex=10"")"
지자체,대전광역시,재난 119·범죄 112·민원 110 신고전화 통합 운영,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846894?&amp;pageIndex=10"")"
지자체,대전광역시,"대전시, 국비 확보 한발 빠른 행보","=HYPERLINK(""http://www.korea.go.kr/locgovNews/846893?&amp;pageIndex=10"")"
지자체,대전광역시 동구,대전충남지역 기설송전선로 철탑부지 보상 사업 편입토지 보상협의 요청 안내 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846830?&amp;pageIndex=13"")"
지자체,부산광역시,"부산시, 7월 정기분 재산세 153만 건 2,924억 원 부과","=HYPERLINK(""http://www.korea.go.kr/locgovNews/847046?&amp;pageIndex=2"")"
지자체,부산광역시,2016년 제2차 (예비)사회적기업 사업개발비 지원사업 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846934?&amp;pageIndex=8"")"
지자체,부산광역시,사상구 학장동 민간임대주택 공급촉진지구 지정에 따른 전략환경영향평가 항목 범위...,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846933?&amp;pageIndex=8"")"
지자체,부산광역시,2016년 하반기 여성단체 민간경상사업보조금 지원계획 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846932?&amp;pageIndex=8"")"
지자체,부산광역시 남구,2016년 수시분 이행강제금 고지서 반송분 공시송달 게재 의뢰,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846549?&amp;pageIndex=20"")"
지자체,부산광역시 동래구,2015년 1/4분기 중 거주불명등록자에 대한 행정상관리주소이전 결과 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846554?&amp;pageIndex=19"")"
지자체,부산광역시 동래구,2015년 2/4분기중 거주불명등록자 행정상관리주소 이전 공고-2차,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846553?&amp;pageIndex=19"")"
지자체,부산광역시 동래구,자전거 보관대 이전 안내 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846552?&amp;pageIndex=19"")"
지자체,부산광역시 사하구,당리작은도서관 2016년 여름방학 특강 프로그램 운영,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846555?&amp;pageIndex=19"")"
지자체,부산광역시 서구,무단방치 자전거 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846550?&amp;pageIndex=19"")"
지자체,부산광역시 해운대구,게임제공업소 행정처분 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846551?&amp;pageIndex=19"")"
지자체,서울특별시,"서울시-UNDP, 시 청렴건설행정시스템 5개 개도국과 공유","=HYPERLINK(""http://www.korea.go.kr/locgovNews/847057?&amp;pageIndex=1"")"
지자체,서울특별시,"서울시, 옐로카펫 100개소 설치 동부화재와 후원 협약","=HYPERLINK(""http://www.korea.go.kr/locgovNews/847056?&amp;pageIndex=1"")"
지자체,서울특별시,"서울시, 7월 정기분 재산세 1조 3,525억원 납부고지","=HYPERLINK(""http://www.korea.go.kr/locgovNews/847055?&amp;pageIndex=1"")"
지자체,서울특별시,"16일(토), 제14회 서울시 발달장애인 농구잔치 개최","=HYPERLINK(""http://www.korea.go.kr/locgovNews/847054?&amp;pageIndex=1"")"
지자체,서울특별시,(자료제공)창업을 희망하는 대학생이라면 경기방식 플리마켓,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/847052?&amp;pageIndex=1"")"
지자체,서울특별시,"서울시 자원봉사센터, 청소년 봉사활동 토론회 개최","=HYPERLINK(""http://www.korea.go.kr/locgovNews/847030?&amp;pageIndex=3"")"
지자체,서울특별시,"서울시, 청소년 체험정보 카카오톡 서비스 ‘서울아이’ 실시!","=HYPERLINK(""http://www.korea.go.kr/locgovNews/846986?&amp;pageIndex=5"")"
지자체,서울특별시,"오직 여름에만 만날 수 있는 가장 시원한 영화관, 한강!","=HYPERLINK(""http://www.korea.go.kr/locgovNews/846985?&amp;pageIndex=5"")"
지자체,서울특별시,창의야구 캠프에서 야구도 즐기고 직업체엄도 하세요,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846984?&amp;pageIndex=5"")"
지자체,서울특별시 강동구,길동 주민자치위원회 신규 위촉위원 인적사항 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846644?&amp;pageIndex=19"")"
지자체,서울특별시 강동구,방문판매업 및 전화권유판매업 직권말소 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846643?&amp;pageIndex=19"")"
지자체,서울특별시 관악구,서울특별시 관악구 「통합사례관리사 기간제근로자」 채용 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846729?&amp;pageIndex=17"")"
지자체,서울특별시 구로구,2016 구로마을공동체 골목축제사업 선정결과 공지,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846956?&amp;pageIndex=6"")"
지자체,서울특별시 금천구,꿈찾기 여름방학 진로캠프,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846931?&amp;pageIndex=8"")"
지자체,서울특별시 금천구,2016년도 2/4분기 통합지도점검 결과,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846930?&amp;pageIndex=8"")"
지자체,서울특별시 노원구,"노원구, 서울에서 가장 많은 미니 태양광 발전소 설치","=HYPERLINK(""http://www.korea.go.kr/locgovNews/846730?&amp;pageIndex=17"")"
지자체,서울특별시 도봉구,주민등록 신고의무 위반자(무단전출)공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846735?&amp;pageIndex=16"")"
지자체,서울특별시 도봉구,자치회관 프로그램 수강료 수입 및 지출내용 공고(2016. 상반기),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846734?&amp;pageIndex=16"")"
지자체,서울특별시 도봉구,의료급여 부당이득금 체납자 독촉고지서 반송분 공시송달 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846733?&amp;pageIndex=17"")"
지자체,서울특별시 도봉구,서울특별시 도봉구 기간제근로자(통합사례관리사) 채용 재공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846731?&amp;pageIndex=17"")"
지자체,서울특별시 동대문구,서울특별시 동대문구 장애인 복지증진에 관한 조례,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846955?&amp;pageIndex=6"")"
지자체,서울특별시 동대문구,동대문구 민간·가정·직장어린이집 2015년도 결산 및 2016년도 예산 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846954?&amp;pageIndex=6"")"
지자체,서울특별시 성북구,소상공인시장진흥공단 이사장 초청특강,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846936?&amp;pageIndex=8"")"
지자체,서울특별시 성북구,성북문화재단 기간제근로자(환경미화) 채용공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846935?&amp;pageIndex=8"")"
지자체,서울특별시 송파구,2016년 송파구 문화재경비인력 공개채용 시행공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846642?&amp;pageIndex=19"")"
지자체,서울특별시 영등포구,"질병관리본부, 전국에 '일본뇌염 경보' 발령","=HYPERLINK(""http://www.korea.go.kr/locgovNews/846948?&amp;pageIndex=6"")"
지자체,서울특별시 용산구,용산구 한시임기제공무원 채용시험 최종 합격자 발표 및 합격자 등록 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846835?&amp;pageIndex=13"")"
지자체,서울특별시 용산구,서울특별시 용산구 효행 장려 및 지원에 관한 조례 일부개정조례안,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846834?&amp;pageIndex=13"")"
지자체,서울특별시 용산구,2016년도 하반기 용산구중소기업육성기금 융자지원계획 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846832?&amp;pageIndex=13"")"
지자체,세종특별자치시,"세종소방서, 불티교 투신자 신속구조","=HYPERLINK(""http://www.korea.go.kr/locgovNews/847040?&amp;pageIndex=2"")"
지자체,세종특별자치시,"베트남 소방공무원, 세종소방서 견학 방문","=HYPERLINK(""http://www.korea.go.kr/locgovNews/847038?&amp;pageIndex=2"")"
지자체,세종특별자치시,"한솔동, 제헌절 태극기 달기 캠페인","=HYPERLINK(""http://www.korea.go.kr/locgovNews/847037?&amp;pageIndex=2"")"
지자체,세종특별자치시,제4회 세종특별자치시 시민대상 후보자 접수 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846941?&amp;pageIndex=7"")"
